kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kab. Bandung,Bawang Merah,2015,37259.0,3247.0,11.474899907607021
Kab. Bandung,Bawang Merah,2016,30647.1,2633.0,11.639612609191037
Kab. Bandung,Bawang Merah,2017,46830.0,2258.0,20.739592559787422
Kab. Bandung,Bawang Merah,2018,64585.8,5288.0,12.213653555219365
Kab. Bandung,Bawang Merah,2019,62100.1,5197.0,11.949220704252452
Kab. Bandung,Bawang Merah,2020,60936.1,5049.0,12.068944345414934
Kab. Bandung,Bawang Merah,2021,58900.3,5002.0,11.775349860055979
Kab. Bandung,Bawang Merah,2022,77278.9,6595.5,11.716913046774314
Kab. Bandung,Bawang Merah,2023,65514.7,5507.0,11.896622480479389
Kab. Bandung,Bawang Merah,2024,87632.6,7011.0,12.499301098274142
Kab. Cianjur,Bawang Merah,2015,130.0,18.0,7.222222222222222
Kab. Cianjur,Bawang Merah,2016,40.0,4.0,10.0
Kab. Cianjur,Bawang Merah,2017,133.0,2938.0,0.04526889040163377
Kab. Cianjur,Bawang Merah,2018,299.8,32.0,9.36875
Kab. Cianjur,Bawang Merah,2019,243.5,28.0,8.696428571428571
Kab. Cianjur,Bawang Merah,2020,152.5,17.0,8.970588235294118
Kab. Cianjur,Bawang Merah,2021,1066.0,128.5,8.295719844357977
Kab. Cianjur,Bawang Merah,2022,596.0,67.0,8.895522388059701
Kab. Cianjur,Bawang Merah,2023,922.75,107.5,8.583720930232559
Kab. Cianjur,Bawang Merah,2024,631.8,70.2,8.999999999999998
Kab. Cirebon,Bawang Merah,2015,31781.8,3237.0,9.818288538770465
Kab. Cirebon,Bawang Merah,2016,40326.5,4017.0,10.038959422454568
Kab. Cirebon,Bawang Merah,2017,38374.0,638.0,60.14733542319749
Kab. Cirebon,Bawang Merah,2018,35307.2,3622.0,9.747984538928767
Kab. Cirebon,Bawang Merah,2019,33471.5,3295.0,10.158270106221547
Kab. Cirebon,Bawang Merah,2020,34636.0,3470.0,9.981556195965418
Kab. Cirebon,Bawang Merah,2021,33463.6,3384.0,9.888770685579196
Kab. Cirebon,Bawang Merah,2022,40024.4,3760.5,10.643371892035635
Kab. Cirebon,Bawang Merah,2023,34301.9,3120.5,10.99243710943759
Kab. Cirebon,Bawang Merah,2024,32094.4,3204.5,10.015415821501014
Kab. Garut,Bawang Merah,2015,22038.5,2252.0,9.786190053285969
Kab. Garut,Bawang Merah,2016,30146.1,3084.0,9.775
Kab. Garut,Bawang Merah,2017,35384.9,8155.0,4.3390435315757205
Kab. Garut,Bawang Merah,2018,28458.6,2935.0,9.696286201022145
Kab. Garut,Bawang Merah,2019,32104.7,3317.0,9.678836297859512
Kab. Garut,Bawang Merah,2020,27334.6,2857.0,9.56758837941897
Kab. Garut,Bawang Merah,2021,35793.3,3604.0,9.931548279689235
Kab. Garut,Bawang Merah,2022,35010.5,3517.0,9.954648848450384
Kab. Garut,Bawang Merah,2023,34136.7,3464.0,9.854705542725172
Kab. Garut,Bawang Merah,2024,37082.2,3756.0,9.872790202342918
Kab. Majalengka,Bawang Merah,2015,32408.2,2696.0,12.020845697329378
Kab. Majalengka,Bawang Merah,2016,32329.2,3344.0,9.667822966507178
Kab. Majalengka,Bawang Merah,2017,37705.3,959.0,39.31730969760167
Kab. Majalengka,Bawang Merah,2018,31980.6,2676.0,11.950896860986546
Kab. Majalengka,Bawang Merah,2019,37973.1,2943.0,12.902854230377166
Kab. Majalengka,Bawang Merah,2020,35166.8,2742.0,12.825237053245807
Kab. Majalengka,Bawang Merah,2021,34068.3,2873.0,11.858092586146887
Kab. Majalengka,Bawang Merah,2022,33319.2,2573.0,12.94955305091333
Kab. Majalengka,Bawang Merah,2023,35811.176,2882.5,12.423651691240243
Kab. Majalengka,Bawang Merah,2024,31978.25,2671.0,11.972388618494946
Kab. Sumedang,Bawang Merah,2015,178.3,26.0,6.857692307692308
Kab. Sumedang,Bawang Merah,2016,174.2,32.0,5.44375
Kab. Sumedang,Bawang Merah,2017,328.0,515.0,0.6368932038834951
Kab. Sumedang,Bawang Merah,2018,229.5,41.0,5.597560975609756
Kab. Sumedang,Bawang Merah,2019,327.7,48.0,6.827083333333333
Kab. Sumedang,Bawang Merah,2020,681.9,92.0,7.41195652173913
Kab. Sumedang,Bawang Merah,2021,521.3,59.0,8.835593220338982
Kab. Sumedang,Bawang Merah,2022,752.27,83.0,9.063493975903615
Kab. Sumedang,Bawang Merah,2023,702.0,79.0,8.886075949367088
Kab. Sumedang,Bawang Merah,2024,1635.775,136.0,12.027757352941178
Kab. Tasikmalaya,Bawang Merah,2015,15.0,1.0,15.0
Kab. Tasikmalaya,Bawang Merah,2016,65.5,5.0,13.1
Kab. Tasikmalaya,Bawang Merah,2017,26.4,2003.0,0.013180229655516724
Kab. Tasikmalaya,Bawang Merah,2018,89.6,23.0,3.895652173913043
Kab. Tasikmalaya,Bawang Merah,2019,100.5,21.0,4.785714285714286
Kab. Tasikmalaya,Bawang Merah,2020,140.1,28.0,5.003571428571428
Kab. Tasikmalaya,Bawang Merah,2021,132.1,23.0,5.743478260869565
Kab. Tasikmalaya,Bawang Merah,2022,122.30499999999999,21.6,5.662268518518518
Kab. Tasikmalaya,Bawang Merah,2023,47.2,8.5,5.552941176470589
