kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kab. Bandung,Bawang Merah,2015,37259.0,3247.0,11.474899907607021
Kab. Bandung,Bawang Merah,2016,30647.1,2633.0,11.639612609191037
Kab. Bandung,Bawang Merah,2017,46830.0,2258.0,20.739592559787422
Kab. Bandung,Bawang Merah,2018,64585.8,5288.0,12.213653555219365
Kab. Bandung,Bawang Merah,2019,62100.1,5197.0,11.949220704252452
Kab. Bandung,Bawang Merah,2020,60936.1,5049.0,12.068944345414934
Kab. Bandung,Bawang Merah,2021,58900.3,5002.0,11.775349860055979
Kab. Bandung,Bawang Merah,2022,77278.9,6595.5,11.716913046774314
Kab. Bandung,Bawang Merah,2023,65514.7,5507.0,11.896622480479389
Kab. Bandung,Bawang Merah,2024,87632.6,7011.0,12.499301098274142
Kab. Bandung Barat,Bawang Merah,2015,87.3,14.0,6.235714285714286
Kab. Bandung Barat,Bawang Merah,2016,105.4,11.0,9.581818181818182
Kab. Bandung Barat,Bawang Merah,2017,74.5,676.0,0.11020710059171597
Kab. Bandung Barat,Bawang Merah,2018,91.0,10.0,9.1
Kab. Bandung Barat,Bawang Merah,2019,80.0,13.0,6.153846153846154
Kab. Bandung Barat,Bawang Merah,2020,364.8,51.0,7.152941176470589
Kab. Bandung Barat,Bawang Merah,2021,486.1,76.0,6.396052631578947
Kab. Bandung Barat,Bawang Merah,2022,856.5,97.0,8.829896907216495
Kab. Bandung Barat,Bawang Merah,2023,763.8,89.0,8.582022471910111
Kab. Bandung Barat,Bawang Merah,2024,823.55,118.6,6.943929173693086
Kab. Bekasi,Bawang Merah,2015,12.0,4.0,3.0
Kab. Bekasi,Bawang Merah,2016,0.0,,
Kab. Bekasi,Bawang Merah,2017,5.0,22.0,0.22727272727272727
Kab. Bekasi,Bawang Merah,2018,0.0,,
Kab. Bekasi,Bawang Merah,2019,41.8,5.0,8.36
Kab. Bekasi,Bawang Merah,2020,23.3,1.6,14.5625
Kab. Bekasi,Bawang Merah,2021,54.75,6.1,8.975409836065575
Kab. Bekasi,Bawang Merah,2022,25.15,4.8,5.239583333333333
Kab. Bekasi,Bawang Merah,2023,54.0,9.15,5.9016393442622945
Kab. Bekasi,Bawang Merah,2024,216.45999999999998,34.55,6.265123010130246
Kab. Bogor,Bawang Merah,2015,0.0,,
Kab. Bogor,Bawang Merah,2016,0.0,,
Kab. Bogor,Bawang Merah,2017,45.0,485.0,0.09278350515463918
Kab. Bogor,Bawang Merah,2018,0.0,,
Kab. Bogor,Bawang Merah,2019,0.0,,
Kab. Bogor,Bawang Merah,2020,3.3,3.0,1.0999999999999999
Kab. Bogor,Bawang Merah,2021,1.8,0.3,6.0
Kab. Bogor,Bawang Merah,2022,5.3,1.85,2.8648648648648645
Kab. Bogor,Bawang Merah,2023,52.0,5.5,9.454545454545455
Kab. Bogor,Bawang Merah,2024,132.22,18.0,7.345555555555555
Kab. Ciamis,Bawang Merah,2015,0.0,,
Kab. Ciamis,Bawang Merah,2016,0.0,,
Kab. Ciamis,Bawang Merah,2017,0.0,429.0,0.0
Kab. Ciamis,Bawang Merah,2018,60.0,7.0,8.571428571428571
Kab. Ciamis,Bawang Merah,2019,87.7,14.0,6.264285714285714
Kab. Ciamis,Bawang Merah,2020,69.0,11.0,6.2727272727272725
Kab. Ciamis,Bawang Merah,2021,186.4,27.0,6.903703703703704
Kab. Ciamis,Bawang Merah,2022,336.5,48.0,7.010416666666667
Kab. Ciamis,Bawang Merah,2023,457.7,66.0,6.934848484848485
Kab. Ciamis,Bawang Merah,2024,174.5,23.0,7.586956521739131
Kab. Cianjur,Bawang Merah,2015,130.0,18.0,7.222222222222222
Kab. Cianjur,Bawang Merah,2016,40.0,4.0,10.0
Kab. Cianjur,Bawang Merah,2017,133.0,2938.0,0.04526889040163377
Kab. Cianjur,Bawang Merah,2018,299.8,32.0,9.36875
Kab. Cianjur,Bawang Merah,2019,243.5,28.0,8.696428571428571
Kab. Cianjur,Bawang Merah,2020,152.5,17.0,8.970588235294118
Kab. Cianjur,Bawang Merah,2021,1066.0,128.5,8.295719844357977
Kab. Cianjur,Bawang Merah,2022,596.0,67.0,8.895522388059701
Kab. Cianjur,Bawang Merah,2023,922.75,107.5,8.583720930232559
Kab. Cianjur,Bawang Merah,2024,631.8,70.2,8.999999999999998
Kab. Cirebon,Bawang Merah,2015,31781.8,3237.0,9.818288538770465
Kab. Cirebon,Bawang Merah,2016,40326.5,4017.0,10.038959422454568
Kab. Cirebon,Bawang Merah,2017,38374.0,638.0,60.14733542319749
Kab. Cirebon,Bawang Merah,2018,35307.2,3622.0,9.747984538928767
Kab. Cirebon,Bawang Merah,2019,33471.5,3295.0,10.158270106221547
Kab. Cirebon,Bawang Merah,2020,34636.0,3470.0,9.981556195965418
Kab. Cirebon,Bawang Merah,2021,33463.6,3384.0,9.888770685579196
Kab. Cirebon,Bawang Merah,2022,40024.4,3760.5,10.643371892035635
Kab. Cirebon,Bawang Merah,2023,34301.9,3120.5,10.99243710943759
Kab. Cirebon,Bawang Merah,2024,32094.4,3204.5,10.015415821501014
Kab. Garut,Bawang Merah,2015,22038.5,2252.0,9.786190053285969
Kab. Garut,Bawang Merah,2016,30146.1,3084.0,9.775
