kabupaten,kelurahan_code,kecamatan,desa,datetime,curah_hujan_mm,suhu_c,kelembaban_pct,tutupan_awan_pct,kecepatan_angin_kmh,arah_angin,cuaca,jarak_pandang_m,analysis_date
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-14 06:00:00,0.0,15,87,0,3.3,NE,Cerah,8015,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-14 09:00:00,0.0,22,53,28,5.6,N,Cerah,7993,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-14 12:00:00,0.0,24,45,13,6.9,N,Cerah,7989,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-14 15:00:00,0.0,22,52,86,8.0,NW,Cerah Berawan,8014,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-14 18:00:00,0.0,18,85,93,2.9,NE,Berawan,8010,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-14 21:00:00,0.0,15,96,95,1.3,NE,Berawan,6998,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-15 00:00:00,0.0,14,97,96,0.9,E,Berawan,7000,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-15 03:00:00,0.0,12,97,100,1.4,E,Berawan,7008,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-15 06:00:00,0.0,14,94,93,3.6,N,Berawan,7006,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-15 09:00:00,0.0,22,56,100,4.4,NW,Berawan,8013,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-15 12:00:00,0.0,24,49,100,6.4,NW,Berawan,7984,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-15 15:00:00,0.0,22,57,100,6.9,NW,Berawan,8003,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-15 18:00:00,0.0,18,87,100,3.2,NE,Berawan,8006,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-15 21:00:00,0.0,16,94,96,1.5,SE,Berawan,7993,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-16 00:00:00,0.0,15,91,100,0.9,E,Berawan,7993,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-16 03:00:00,0.0,14,91,45,1.2,N,Cerah,8003,2026-07-13T12:00:00
Kab. Bandung,32.04.15.2001,Pangalengan,Pangalengan,2026-07-16 06:00:00,0.0,16,86,12,3.6,NE,Cerah,7993,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-14 07:00:00,0.0,27,71,8,5.1,S,Cerah,6991,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-14 10:00:00,0.0,31,46,36,3.1,SE,Cerah,7993,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-14 13:00:00,0.0,32,49,62,7.8,N,Cerah Berawan,7989,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-14 16:00:00,0.0,29,59,80,17.3,N,Cerah Berawan,8014,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-14 19:00:00,0.0,28,68,62,5.5,NE,Cerah Berawan,8010,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-14 22:00:00,0.0,26,77,38,3.1,S,Cerah,8006,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-15 01:00:00,0.0,24,83,97,3.9,S,Berawan,7992,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-15 04:00:00,0.0,24,85,91,4.9,S,Berawan,8000,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-15 07:00:00,0.0,27,71,78,5.0,S,Cerah Berawan,7998,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-15 10:00:00,0.0,31,46,99,5.3,E,Berawan,8013,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-15 13:00:00,0.0,32,46,98,8.6,N,Berawan,7984,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-15 16:00:00,0.0,30,56,100,16.0,N,Berawan,8003,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-15 19:00:00,0.0,27,67,98,4.4,SE,Berawan,8006,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-15 22:00:00,0.0,25,78,91,4.7,SW,Berawan,7993,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-16 01:00:00,0.0,24,79,91,5.2,SW,Berawan,7993,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-16 04:00:00,0.0,24,82,22,4.1,S,Cerah,8003,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-16 07:00:00,0.0,27,69,0,2.9,SE,Cerah,7993,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-16 10:00:00,0.0,32,46,0,9.4,N,Cerah,7994,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-16 13:00:00,0.0,32,45,1,9.4,N,Cerah,7994,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-16 16:00:00,0.0,30,59,6,5.1,E,Cerah,7993,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-16 19:00:00,0.0,27,68,8,5.1,E,Cerah,7993,2026-07-13T12:00:00
Kab. Cirebon,32.09.04.2001,Pabedilan,Pabedilan Kidul,2026-07-16 22:00:00,0.0,26,78,3,7.2,SW,Cerah,7998,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-14 06:00:00,0.0,16,85,30,7.9,N,Cerah,6991,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-14 09:00:00,0.0,22,59,9,4.2,NE,Cerah,7993,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-14 12:00:00,0.0,24,56,76,5.2,E,Cerah Berawan,7989,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-14 15:00:00,0.0,22,69,96,6.8,E,Berawan,8014,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-14 18:00:00,0.0,18,93,98,4.3,NE,Berawan,8010,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-14 21:00:00,0.0,17,98,99,6.2,N,Berawan,6998,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-15 00:00:00,0.0,16,98,98,5.0,N,Berawan,7000,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-15 03:00:00,0.0,15,99,98,5.1,N,Berawan,7008,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-15 06:00:00,0.0,16,93,85,6.0,N,Cerah Berawan,7518,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-15 09:00:00,0.0,22,57,99,5.1,E,Berawan,8013,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-15 12:00:00,0.0,24,62,100,7.2,E,Berawan,7984,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-15 15:00:00,0.7,22,71,100,7.1,E,Berawan,8003,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-15 18:00:00,0.0,18,90,100,2.9,NE,Berawan,8006,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-15 21:00:00,0.0,18,90,90,2.6,N,Cerah Berawan,7993,2026-07-13T12:00:00
Kab. Garut,32.05.22.2001,Cikajang,Cikajang,2026-07-16 00:00:00,0.0,16,95,98,3.9,N,Berawan,7001,2026-07-13T12:00:00
