date,province,regency,market,commodity,price_type_id,price_type,nominal_price
2024-01-01,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-02,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-03,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-04,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-05,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-08,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-09,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-10,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-11,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-12,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-15,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-16,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-17,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-18,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-19,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-22,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-23,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-24,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-01-25,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-01-26,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-01-29,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-01-30,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-01-31,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-01,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-02,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-05,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-06,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-07,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-08,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-09,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-12,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-13,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-14,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-15,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-16,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-19,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-20,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-21,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-22,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,44250.0
2024-02-23,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,58750.0
