date,province,regency,commodity,price_type_id,price_type,nominal_price,source_level,responder_name
2018-09-03,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-04,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-06,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-07,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-10,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-11,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-13,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-14,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-17,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-18,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-20,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-21,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-24,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,,kabupaten,
2018-09-25,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-09-26,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-09-27,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-09-28,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-01,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-02,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-03,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-04,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-08,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-09,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-10,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-11,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-15,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-16,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-17,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-18,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-22,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-23,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-24,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,9350.0,kabupaten,
2018-10-25,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-10-26,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-10-29,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-10-30,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-10-31,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-01,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-02,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-06,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-07,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-08,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-09,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-13,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-14,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-15,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-16,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-20,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-21,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-22,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,20000.0,kabupaten,
2018-11-23,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-11-26,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-11-27,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-11-28,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-11-29,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-11-30,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-03,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-04,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-06,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-07,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-10,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-11,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-13,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-14,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-17,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-18,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-20,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-21,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-24,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-25,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,10650.0,kabupaten,
2018-12-26,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2018-12-27,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2018-12-28,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2018-12-31,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2019-01-01,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
